iter	RMSE
437	2.816443467
438	2.814914193
439	2.81216397
440	2.807463737
441	2.805387048
442	2.802031544
443	2.795923338
444	2.792192547
445	2.78736983
446	2.783601225
447	2.78275831
448	2.777774696
449	2.773541568
450	2.770978099
451	2.76725978
452	2.763390325
453	2.760833751
454	2.755634766
455	2.753966446
456	2.749480681
457	2.746088632
458	2.744507841
459	2.738352856
460	2.734210313
461	2.727460463
462	2.724170376
463	2.721578777
464	2.718586439
465	2.714586166
466	2.710992383
467	2.707812998
468	2.705085563
469	2.70134092
470	2.695086634
471	2.694765465
472	2.690900763
473	2.690566929
474	2.68769527
475	2.680837396
476	2.677419226
477	2.676979977
478	2.675084501
479	2.670296249
480	2.668003646
481	2.66443891
482	2.660948348
483	2.65546335
484	2.654025049
485	2.651147133
486	2.64716277
487	2.645801013
488	2.644776216
489	2.642937721
490	2.638117488
491	2.634759914
492	2.631671461
493	2.628364026
494	2.626739567
495	2.623413784
496	2.62190374
497	2.618561929
498	2.61479298
499	2.61440394
500	2.612056788
501	2.609801302
502	2.608707459
503	2.607449376
504	2.604812859
505	2.604171721
506	2.601610183
507	2.598984683
508	2.596260772
509	2.595687064
510	2.590195134
511	2.58270659
512	2.579627008
513	2.575789718
514	2.57524812
515	2.571853378
516	2.569041477
517	2.566246281
518	2.562717728
519	2.559673558
520	2.557393909
521	2.557052165
522	2.553619841
523	2.550058172
524	2.548535968
525	2.545610536
526	2.542286295
527	2.539200377
528	2.537250239
529	2.534290299
530	2.53099189
531	2.526858333
532	2.526547958
533	2.522143805
534	2.517206928
535	2.515068263
536	2.510962576
537	2.508826395
538	2.507887182
539	2.504859518
540	2.502005471
541	2.498837665
542	2.498517812
543	2.495868118
544	2.494113076
545	2.490225314
546	2.486621776
547	2.482261446
548	2.479759675
549	2.475152298
550	2.473015664
551	2.470550641
552	2.469634483
553	2.467455495
554	2.465101116
555	2.46041348
556	2.456537874
557	2.452694411
558	2.448820672
559	2.446573038
560	2.443989866
561	2.442088867
562	2.440482194
563	2.436134465
564	2.433093044
565	2.431248346
566	2.426868203
567	2.425778219
568	2.422552335
569	2.422338315
570	2.419558504
571	2.417749353
572	2.415140093
573	2.413446398
574	2.410666342
575	2.409189624
576	2.405267387
577	2.402304859
578	2.399236542
579	2.397850051
580	2.394230672
581	2.391245878
582	2.388855481
583	2.386293338
584	2.385080615
585	2.382241695
586	2.379352211
587	2.376221937
588	2.374094173
589	2.372876697
590	2.370463542
591	2.368319958
592	2.36804879
593	2.366597224
594	2.365686949
595	2.3621793
596	2.359842318
597	2.358918858
598	2.357779305
599	2.354907282
600	2.353389831
601	2.350531523
602	2.347516528
603	2.345440404
604	2.3425979
605	2.338547994
606	2.335603345
607	2.334029105
608	2.333552106
609	2.329618635
610	2.327442011
611	2.32451367
612	2.320922909
613	2.317101746
614	2.314925541
615	2.313032685
616	2.310941509
617	2.310496785
618	2.308263832
619	2.304902342
620	2.30387376
621	2.301722036
622	2.299121935
623	2.296394767
624	2.293984179
625	2.292920539
626	2.290405764
627	2.287770726
628	2.286539598
629	2.28504187
630	2.282691306
631	2.281302189
632	2.278241067
633	2.276184726
634	2.27262609
635	2.270559207
636	2.268359927
637	2.266021663
638	2.264871954
639	2.262270862
640	2.26001067
641	2.256444416
642	2.254723617
643	2.252857572
644	2.251036291
645	2.24866743
646	2.247761854
647	2.246463468
648	2.243418707
649	2.242136596
650	2.241321566
651	2.238394712
652	2.236468412
653	2.236045613
654	2.232953099
655	2.22993591
656	2.228403907
657	2.226566539
658	2.225766578
659	2.223421954
660	2.220524953
661	2.218815419
662	2.215301565
663	2.21202564
664	2.209441689
665	2.208232355
666	2.205215431
667	2.202868376
668	2.201575883
669	2.200411789
670	2.197358385
671	2.195037671
672	2.192974536
673	2.191850324
674	2.190494289
675	2.18831009
676	2.1865122
677	2.185272852
678	2.183100318
679	2.181028131
680	2.179861932
681	2.176717181
682	2.174717659
683	2.172661273
684	2.172022809
685	2.170142292
686	2.168442804
687	2.167554154
688	2.165140275
689	2.164362486
690	2.162835761
691	2.161276376
692	2.159982036
693	2.158160194
694	2.15779374
695	2.155576578
696	2.153404333
697	2.151099897
698	2.149859414
699	2.147561936
700	2.146118941
701	2.144997778
702	2.144195739
703	2.141904736
704	2.140894358
705	2.139152614
706	2.136968119
707	2.135256122
708	2.13336347
709	2.131171369
710	2.128687459
711	2.126666409
712	2.126040834
713	2.124399316
714	2.123374826
715	2.121418025
716	2.119516896
717	2.116733144
718	2.114064677
719	2.112304528
720	2.110297293
721	2.108013061
722	2.106885861
723	2.105278399
724	2.103882454
725	2.10172154
726	2.099843739
727	2.098132149
728	2.096912798
729	2.095283686
730	2.093148957
731	2.091483217
732	2.090816829
733	2.089173684
734	2.08698094
735	2.086092561
736	2.084360945
737	2.082864358
738	2.07947023
739	2.07612466
740	2.074413827
741	2.072403249
742	2.071775725
743	2.07003088
744	2.067544015
745	2.065354078
746	2.062819678
747	2.060569628
748	2.058731413
749	2.056945743
750	2.055657402
751	2.054549277
752	2.052953735
753	2.051562735
754	2.049797651
755	2.048528288
756	2.046519337
757	2.044579882
758	2.041712437
759	2.041072957
760	2.039606662
761	2.038517847
762	2.036812662
763	2.035830991
764	2.034549398
765	2.033610679
766	2.032574136
767	2.030957285
768	2.030466926
769	2.028030107
770	2.026506613
771	2.0246848
772	2.023932358
773	2.022000912
774	2.020275016
775	2.017677314
776	2.016156923
777	2.015659675
778	2.013841425
779	2.011944703
780	2.010489582
781	2.009366668
782	2.008213122
783	2.006661807
784	2.004555201
785	2.004183341
786	2.003408448
787	2.002458066
788	2.000155681
789	1.999074412
790	1.998409245
791	1.996819311
792	1.995242551
793	1.993263172
794	1.991814567
795	1.990434071
796	1.988764551
797	1.987375801
798	1.984873328
799	1.984374421
800	1.983225092
801	1.981982192
802	1.980660593
803	1.979223705
804	1.977987946
805	1.976226729
806	1.974439481
807	1.973073859
808	1.971574829
809	1.971045386
810	1.96966352
811	1.968183871
812	1.965958215
813	1.965607769
814	1.963226271
815	1.96221612
816	1.960105417
817	1.959091181
818	1.957534528
819	1.955831071
820	1.954128162
821	1.952532279
822	1.951580035
823	1.950216211
824	1.949253736
825	1.947424353
826	1.945900385
827	1.944944491
828	1.942826142
829	1.942374481
830	1.940928313
831	1.939861252
832	1.938191368
833	1.936967847
834	1.935739081
835	1.934400635
836	1.932573918
837	1.930615614
838	1.929241932
839	1.928766799
840	1.928627043
841	1.928023306
842	1.926416159
843	1.925634263
844	1.924301768
845	1.923742162
846	1.92292043
847	1.920865504
848	1.919931296
849	1.919600425
850	1.919048454
851	1.918241792
852	1.917741595
853	1.916802835
854	1.916256554
855	1.914313253
856	1.912852949
857	1.912096642
858	1.911248358
859	1.909761324
860	1.909167504
861	1.907783727
862	1.907416314
863	1.906479966
864	1.904796745
865	1.90418905
866	1.903615206
867	1.902357127
868	1.901260393
869	1.899315968
870	1.898127618
871	1.896863752
872	1.89573154
873	1.895078554
874	1.894155668
875	1.892971082
876	1.891463697
877	1.890735183
878	1.88977482
879	1.887933971
880	1.887527118
881	1.88599154
882	1.885574416
883	1.884490717
884	1.883149757
885	1.882701352
886	1.882172119
887	1.880389966
888	1.879233848
889	1.878010489
890	1.876676838
891	1.876140678
892	1.875344049
893	1.874042389
894	1.872478583
895	1.870487507
896	1.869022861
897	1.868349877
898	1.867737595
899	1.867649571
900	1.866450881
901	1.864978407
902	1.863574285
903	1.862512637
904	1.86189343
905	1.861056818
906	1.860616729
907	1.859299877
908	1.857688322
909	1.856218689
910	1.855433636
911	1.854849396
912	1.854662292
913	1.853476422
914	1.852554016
915	1.851479358
916	1.850912309
917	1.84911754
918	1.847853299
919	1.845921555
920	1.845083271
921	1.844415215
922	1.844270604
923	1.842889288
924	1.841732248
925	1.840723449
926	1.839636697
927	1.837867239
928	1.836879127
929	1.835735379
930	1.834349955
931	1.83360395
932	1.832373368
933	1.831564426
934	1.830800533
935	1.830403721
936	1.829469423
937	1.828389051
938	1.827172442
939	1.826013351
940	1.825427125
941	1.824480049
942	1.823536598
943	1.821976078
944	1.820442313
945	1.820006427
946	1.819008416
947	1.818311164
948	1.81712073
949	1.816581453
950	1.815627069
951	1.81450153
952	1.814303758
953	1.812925339
954	1.812006253
955	1.810698217
956	1.809627156
957	1.808127435
958	1.806454832
959	1.805718263
960	1.80398382
961	1.802572693
962	1.802162881
963	1.80157098
964	1.800576474
965	1.800258429
966	1.799232675
967	1.798051822
968	1.796614378
969	1.795667349
970	1.795163499
971	1.793900675
972	1.793281441
973	1.792949927
974	1.791857855
975	1.790445248
976	1.789887867
977	1.788802513
978	1.788149099
979	1.786246943
980	1.785322172
981	1.784432128
982	1.782970497
983	1.781561411
984	1.781204984
985	1.780366575
986	1.778647991
987	1.778273627
988	1.777703415
989	1.776944268
990	1.774762717
991	1.774288258
992	1.773609847
993	1.772733672
994	1.771969742
995	1.770911177
996	1.769731669
997	1.769447256
998	1.769121019
999	1.7683237
